=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 1, Norm bitsize: 127, Iterations: 500
GRAM prealloc (Phase 2 candidate B): OFF
GRAM fp       (Phase 2 candidate C): OFF

Generating 500 random ideal lattice pairs (bitsize=127)...
Mode: alg2
  Set 1: 670.85 ms
  Set 2: 682.64 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
181  |   128 |    2149 |    3521     253    3521 |     507     253     507 |    0.2    7.7    0.7
182  |   128 |    1383 |    3524     253    3524 |     505     252     505 |    0.2    7.4    0.6
183  |   128 |    2150 |    3516     253    3516 |     507     253     507 |    0.2    7.6    0.6
184  |   128 |    2152 |    3513     252    3513 |     506     253     506 |    0.2    6.4    0.5
185  |   128 |    2150 |    3516     253    3516 |     505     253     505 |    0.1    5.4    0.5
186  |   127 |    1748 |    3504     251    3504 |     505     252     505 |    0.1    4.2    0.5
187  |   128 |    2163 |    3529     253    3529 |     506     253     506 |    0.2    5.6    0.5
188  |   128 |    2149 |    3511     252    3511 |     504     252     504 |    0.1    5.3    0.4
189  |   128 |    1908 |    3498     255    3498 |     511     255     511 |    0.1    4.4    0.4
190  |   128 |    2144 |    3520     253    3520 |     506     253     506 |    0.1    5.1    0.4
191  |   128 |    2149 |    3520     252    3520 |     504     252     504 |    0.1    5.3    0.4
192  |   128 |    1388 |    3517     253    3517 |     507     253     507 |    0.1    5.3    0.4
193  |   128 |    2151 |    3520     252    3520 |     505     252     505 |    0.1    5.1    0.4
194  |   127 |    2140 |    3516     252    3516 |     504     252     504 |    0.1    5.2    0.4
195  |   128 |    1719 |    2981     254    2981 |     507     254     507 |    0.1    3.7    0.4
196  |   127 |    2120 |    3009     251    3009 |     503     252     503 |    0.1    4.1    0.4
197  |   128 |    2155 |    3033     253    3033 |     506     253     506 |    0.1    4.3    0.4
198  |   128 |    2168 |    3539     254    3539 |     507     254     507 |    0.1    5.7    0.5
199  |   127 |    2145 |    3516     252    3516 |     505     252     505 |    0.1    5.1    0.5
200  |   126 |    1365 |    3005     251    3005 |     502     251     502 |    0.1    4.1    0.4
201  |   128 |    2151 |    3524     253    3524 |     507     253     507 |    0.1    5.2    0.4
202  |   127 |    2143 |    3516     253    3516 |     505     253     505 |    0.1    5.4    0.4
203  |   128 |    2120 |    3465     251    3465 |     503     251     503 |    0.1    5.0    0.4
204  |   127 |    2130 |    3506     251    3506 |     503     251     503 |    0.1    5.0    0.4
205  |   128 |    2164 |    3528     254    3528 |     507     254     507 |    0.1    5.3    0.4
206  |   128 |    2159 |    3517     254    3517 |     508     254     508 |    0.1    5.2    0.4
207  |   128 |    1770 |    3508     253    3508 |     505     253     505 |    0.1    4.3    0.4
208  |   125 |    2107 |    2989     251    2989 |     501     251     501 |    0.1    3.9    0.4
209  |   128 |    2150 |    3515     253    3515 |     506     253     506 |    0.1    5.1    0.5
210  |   128 |    2160 |    3517     254    3517 |     508     254     508 |    0.1    5.3    0.4
211  |   128 |    2168 |    3537     254    3537 |     507     254     507 |    0.1    5.5    0.5
212  |   128 |    1754 |    3498     256    3498 |     512     256     512 |    0.1    3.9    0.4
213  |   127 |    1480 |    3008     251    3008 |     503     251     503 |    0.1    4.0    0.4
214  |   128 |    1735 |    2995     252    2995 |     504     252     504 |    0.1    4.0    0.4
215  |   128 |    2155 |    3525     254    3525 |     507     254     507 |    0.1    5.4    0.4
216  |   128 |    2157 |    3520     253    3520 |     506     253     506 |    0.1    5.0    0.4
217  |   128 |    2147 |    3516     253    3516 |     506     253     506 |    0.1    5.2    0.5
218  |   128 |    2131 |    3481     253    3481 |     506     253     506 |    0.1    4.1    0.4
219  |   127 |    2145 |    3512     253    3512 |     505     253     505 |    0.1    4.9    0.4
220  |   128 |    2155 |    3535     253    3535 |     507     253     507 |    0.1    5.5    0.4
221  |   127 |    2123 |    3015     251    3015 |     503     251     503 |    0.1    3.8    0.4
222  |   128 |    2150 |    3519     252    3519 |     505     252     505 |    0.1    5.2    0.4
223  |   126 |    2097 |    2982     251    2982 |     503     251     503 |    0.1    4.2    0.4
224  |   127 |    1610 |    3462     254    3462 |     507     254     507 |    0.1    3.9    0.4
225  |   128 |    2166 |    3533     254    3533 |     507     254     507 |    0.1    5.1    0.4
226  |   127 |    2133 |    3015     252    3015 |     505     252     505 |    0.1    3.9    0.4
227  |   128 |    2168 |    3537     254    3537 |     508     254     508 |    0.1    5.1    0.4
228  |   128 |    2161 |    3527     254    3527 |     509     254     509 |    0.1    5.3    0.4
229  |   126 |    1360 |    2993     251    2993 |     503     251     503 |    0.1    4.0    0.4
230  |   125 |    2098 |    2974     251    2974 |     501     251     501 |    0.1    3.9    0.4
231  |   127 |    2130 |    3014     251    3014 |     503     252     503 |    0.1    4.1    0.4
232  |   128 |    2146 |    3530     253    3530 |     506     253     506 |    0.1    5.1    0.5
233  |   128 |    2150 |    3513     252    3513 |     504     252     504 |    0.1    5.1    0.4
234  |   126 |    1619 |    3486     252    3486 |     504     252     504 |    0.1    4.2    0.4
235  |   128 |    2164 |    3532     253    3532 |     507     253     507 |    0.1    5.4    0.5
236  |   127 |    2147 |    3523     252    3523 |     505     252     505 |    0.1    5.1    0.4
237  |   128 |    2161 |    3528     253    3528 |     507     253     507 |    0.1    5.1    0.4
238  |   127 |    2138 |    3510     251    3510 |     504     251     504 |    0.1    5.2    0.4
239  |   126 |    2101 |    2976     251    2976 |     501     251     501 |    0.1    3.7    0.4
240  |   128 |    2149 |    3513     252    3513 |     504     252     504 |    0.1    4.1    0.4
241  |   128 |    2140 |    3516     252    3516 |     505     252     505 |    0.1    5.1    0.4
242  |   128 |    1633 |    3513     252    3513 |     505     252     505 |    0.1    4.4    0.4
243  |   128 |    2116 |    3003     253    3003 |     506     253     506 |    0.1    4.0    0.4
244  |   128 |    2169 |    3531     254    3531 |     508     254     508 |    0.1    5.4    0.5
245  |   127 |    2148 |    3525     252    3525 |     505     253     505 |    0.1    5.0    0.4
246  |   126 |    1353 |    2972     251    2972 |     503     251     503 |    0.1    4.2    0.4
247  |   128 |    2145 |    3503     253    3503 |     506     253     506 |    0.1    5.0    0.4
248  |   128 |    1745 |    3002     252    3002 |     506     252     506 |    0.1    4.1    0.4
249  |   128 |    2170 |    3536     254    3536 |     508     254     508 |    0.1    5.2    0.4
250  |   128 |    2163 |    3526     254    3526 |     508     254     508 |    0.1    5.2    0.4
251  |   128 |    1635 |    3488     253    3488 |     506     253     506 |    0.1    4.1    0.4
252  |   128 |    2152 |    3519     253    3519 |     507     253     507 |    0.1    5.2    0.4
253  |   128 |    1625 |    3022     252    3022 |     505     252     505 |    0.1    4.1    0.4
254  |   128 |    2158 |    3527     253    3527 |     505     253     505 |    0.1    5.3    0.4
