=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 3, Norm bitsize: 193, Iterations: 500
GRAM prealloc (Phase 2 candidate B): OFF
GRAM fp       (Phase 2 candidate C): ON

Generating 500 random ideal lattice pairs (bitsize=193)...
Mode: alg2
  Set 1: 2035.81 ms
  Set 2: 2033.84 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
88   |   194 |    3253 |    5333     384    5333 |     767     384     767 |    0.1   12.4    2.7
89   |   194 |    3281 |    5358     385    5358 |     770     385     770 |    0.1   12.8    2.8
90   |   194 |    3266 |    5369     384    5369 |     769     384     769 |    0.1   12.3    2.6
91   |   194 |    3288 |    5382     385    5382 |     771     385     771 |    0.1   13.3    2.8
92   |   194 |    3284 |    5372     385    5372 |     770     385     770 |    0.1   12.7    2.7
93   |   193 |    3271 |    5362     385    5362 |     770     385     770 |    0.1   12.3    2.7
94   |   194 |    3258 |    5361     386    5361 |     773     386     773 |    0.1   12.5    2.7
95   |   194 |    2506 |    5371     386    5371 |     771     386     771 |    0.1    9.8    2.4
96   |   194 |    3284 |    5378     386    5378 |     772     386     772 |    0.1   12.3    2.6
97   |   194 |    3258 |    5334     385    5334 |     770     385     770 |    0.1   12.8    2.8
98   |   194 |    3278 |    5368     385    5368 |     770     385     770 |    0.1   12.1    2.6
99   |   194 |    2120 |    5378     386    5378 |     772     386     772 |    0.2   12.6    2.8
100  |   194 |    3285 |    5363     386    5363 |     772     386     772 |    0.1    9.7    2.3
101  |   194 |    3269 |    5373     385    5373 |     769     385     769 |    0.1   12.6    2.8
102  |   194 |    3259 |    5366     384    5366 |     769     384     769 |    0.1   12.8    2.8
103  |   193 |    3271 |    4607     384    4607 |     768     384     768 |    0.1    9.4    2.4
104  |   194 |    3284 |    5375     386    5375 |     773     386     773 |    0.1   12.7    2.8
105  |   194 |    3284 |    5376     385    5376 |     771     385     771 |    0.1   12.4    2.7
106  |   193 |    3257 |    5335     383    5335 |     768     383     768 |    0.1   12.8    2.7
