=== L5_alg2_1000_prealloc ===
=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 5, Norm bitsize: 254, Iterations: 1000
GRAM prealloc (Phase 2 candidate B): ON

Generating 1000 random ideal lattice pairs (bitsize=254)...
Mode: alg2
  Set 1: 8235.64 ms
  Set 2: 8295.41 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
101  |   253 |    4282 |    6057     505    6057 |    1011     505    1011 |    0.1   17.2    0.8
102  |   255 |    3537 |    6084     507    6084 |    1015     507    1015 |    0.1   16.8    0.8
103  |   255 |    4305 |    7069     506    7069 |    1013     506    1013 |    0.1   23.9    0.9
104  |   254 |    4281 |    7036     505    7036 |    1011     505    1011 |    0.2   23.0    0.9
105  |   255 |    2780 |    7076     507    7076 |    1014     507    1014 |    0.1   23.6    0.9
106  |   255 |    4322 |    7099     508    7099 |    1015     508    1015 |    0.1   24.2    0.9
107  |   255 |    4327 |    7101     508    7101 |    1016     508    1016 |    0.2   23.7    1.0
108  |   255 |    3020 |    6053     506    6053 |    1012     506    1012 |    0.1   17.5    0.8
109  |   254 |    4290 |    6064     506    6064 |    1013     506    1013 |    0.2   17.5    0.8
110  |   255 |    4326 |    7099     508    7099 |    1015     508    1015 |    0.2   23.9    0.9
111  |   255 |    4307 |    7078     507    7078 |    1015     507    1015 |    0.2   23.9    0.9
112  |   253 |    3279 |    7050     506    7050 |    1013     506    1013 |    0.1   17.4    0.8
113  |   255 |    4326 |    7094     508    7094 |    1017     508    1017 |    0.1   23.7    0.9
114  |   255 |    4318 |    7086     507    7086 |    1014     507    1014 |    0.1   24.1    0.9
115  |   255 |    3030 |    6074     507    6074 |    1014     507    1014 |    0.1   17.2    0.8
116  |   255 |    4321 |    6083     508    6083 |    1016     508    1016 |    0.1   17.1    0.8
117  |   255 |    4320 |    7082     507    7082 |    1015     507    1015 |    0.1   23.2    0.9
118  |   255 |    4319 |    7088     509    7088 |    1019     509    1019 |    0.2   17.8    0.8
119  |   253 |    4277 |    6050     506    6050 |    1011     506    1011 |    0.1   17.1    0.8
120  |   255 |    2780 |    7079     507    7079 |    1014     507    1014 |    0.1   23.7    0.9
121  |   255 |    4316 |    7072     508    7072 |    1016     508    1016 |    0.2   22.8    0.9
122  |   255 |    4315 |    7083     507    7083 |    1013     507    1013 |    0.1   23.6    0.9
123  |   254 |    3498 |    6985     508    6985 |    1016     508    1016 |    0.2   16.8    0.8
124  |   255 |    4320 |    7090     507    7090 |    1015     508    1015 |    0.1   23.5    0.9
125  |   255 |    4327 |    7086     508    7086 |    1017     508    1017 |    0.1   23.8    1.0
126  |   255 |    4310 |    7083     507    7083 |    1014     507    1014 |    0.2   23.9    0.9
127  |   255 |    4310 |    7080     507    7080 |    1014     507    1014 |    0.2   23.7    0.9
128  |   255 |    4317 |    6081     507    6081 |    1014     507    1014 |    0.1   17.0    0.8
129  |   255 |    4321 |    7090     507    7090 |    1015     507    1015 |    0.1   24.5    0.9
130  |   255 |    4316 |    7089     508    7089 |    1015     508    1015 |    0.1   23.8    0.9
131  |   255 |    4321 |    7092     507    7092 |    1016     507    1016 |    0.2   24.3    1.0
132  |   255 |    4281 |    7029     507    7029 |    1015     507    1015 |    0.2   23.1    0.9
133  |   255 |    4314 |    7085     507    7085 |    1015     508    1015 |    0.1   22.7    0.9
134  |   255 |    4311 |    7082     507    7082 |    1015     507    1015 |    0.1   23.1    0.9
135  |   255 |    4324 |    7093     508    7093 |    1015     508    1015 |    0.1   23.7    0.9
136  |   255 |    4310 |    7078     506    7078 |    1013     506    1013 |    0.1   24.1    0.9
137  |   254 |    4298 |    7078     507    7078 |    1013     507    1013 |    0.2   22.9    0.9
138  |   255 |    4321 |    7086     507    7086 |    1015     507    1015 |    0.1   23.8    0.9
139  |   255 |    4322 |    7095     507    7095 |    1016     507    1016 |    0.2   23.4    0.9
140  |   255 |    4318 |    7083     507    7083 |    1014     507    1014 |    0.1   23.0    0.9
141  |   255 |    4257 |    7028     507    7028 |    1015     507    1015 |    0.2   17.1    0.8
142  |   255 |    4323 |    7092     508    7092 |    1016     508    1016 |    0.1   24.5    0.9
143  |   255 |    4309 |    7076     507    7076 |    1013     507    1013 |    0.2   22.9    0.9
144  |   254 |    4301 |    7070     506    7070 |    1013     506    1013 |    0.2   23.9    1.0
145  |   255 |    4272 |    6051     507    6051 |    1013     506    1013 |    0.1   17.9    0.8
146  |   253 |    4284 |    7057     506    7057 |    1013     506    1013 |    0.2   23.9    0.9
147  |   253 |    4282 |    6054     505    6054 |    1010     505    1010 |    0.1   16.3    0.8
148  |   255 |    4315 |    7080     507    7080 |    1016     507    1016 |    0.1   23.7    1.0
149  |   255 |    4317 |    7086     507    7086 |    1015     507    1015 |    0.1   23.6    0.9
150  |   255 |    4320 |    7082     507    7082 |    1015     507    1015 |    0.2   23.7    0.9
151  |   255 |    3027 |    7087     507    7087 |    1014     507    1014 |    0.1   24.2    0.9
152  |   255 |    4296 |    7060     506    7060 |    1012     506    1012 |    0.1   23.1    0.9
153  |   255 |    4316 |    7085     507    7085 |    1015     507    1015 |    0.1   24.6    0.9
154  |   255 |    4311 |    7079     507    7079 |    1013     507    1013 |    0.1   23.4    0.9
155  |   255 |    4302 |    7086     507    7086 |    1015     508    1015 |    0.1   23.6    0.9
156  |   255 |    4290 |    7032     506    7032 |    1013     506    1013 |    0.1   22.8    0.9
157  |   255 |    4324 |    7095     508    7095 |    1016     508    1016 |    0.1   23.0    0.9
158  |   255 |    4326 |    7096     508    7096 |    1016     508    1016 |    0.2   24.3    0.9
159  |   255 |    4285 |    6065     506    6065 |    1013     506    1013 |    0.1   17.7    0.8
160  |   254 |    4288 |    7047     506    7047 |    1014     506    1014 |    0.2   22.8    0.9
161  |   255 |    4325 |    7097     508    7097 |    1016     508    1016 |    0.2   24.4    1.0
162  |   255 |    3290 |    7081     508    7081 |    1017     508    1017 |    0.1   18.2    0.8
163  |   255 |    4326 |    7092     508    7092 |    1015     508    1015 |    0.1   23.2    0.9
164  |   255 |    3025 |    6071     507    6071 |    1013     507    1013 |    0.1   17.1    0.8
165  |   255 |    4313 |    7086     508    7086 |    1016     508    1016 |    0.1   24.0    0.9
166  |   254 |    3761 |    6995     509    6995 |    1019     509    1019 |    0.2   17.5    0.8
167  |   255 |    4316 |    7081     507    7081 |    1014     507    1014 |    0.1   24.0    1.0
168  |   255 |    4315 |    7084     508    7084 |    1015     508    1015 |    0.2   23.2    0.9
169  |   255 |    4298 |    7077     506    7077 |    1013     506    1013 |    0.1   23.4    0.9
170  |   255 |    4263 |    6989     506    6989 |    1013     506    1013 |    0.1   23.5    0.9
171  |   255 |    4311 |    7072     507    7072 |    1014     507    1014 |    0.1   23.8    0.9
172  |   255 |    4318 |    7085     507    7085 |    1014     507    1014 |    0.1   23.1    0.9
173  |   253 |    4267 |    6043     506    6043 |    1011     506    1011 |    0.1   16.9    0.8
174  |   254 |    3275 |    7053     507    7053 |    1014     507    1014 |    0.1   17.8    0.8
175  |   255 |    3019 |    6057     506    6057 |    1012     506    1012 |    0.1   17.5    0.8
176  |   255 |    4321 |    7086     507    7086 |    1015     507    1015 |    0.1   23.9    0.9
177  |   254 |    4305 |    7076     507    7076 |    1013     507    1013 |    0.1   23.7    0.9
178  |   255 |    2776 |    7080     506    7080 |    1013     506    1013 |    0.1   23.5    0.9
179  |   255 |    3807 |    7084     507    7084 |    1014     507    1014 |    0.1   23.2    0.9
180  |   253 |    4277 |    6052     505    6052 |    1011     505    1011 |    0.1   17.1    0.8
181  |   254 |    4303 |    7070     507    7070 |    1013     507    1013 |    0.1   24.3    0.9
182  |   255 |    4315 |    7085     507    7085 |    1014     507    1014 |    0.1   23.8    0.9
183  |   253 |    4281 |    7055     505    7055 |    1011     505    1011 |    0.1   23.1    0.9
184  |   255 |    4296 |    7034     506    7034 |    1014     506    1014 |    0.2   22.7    0.9
185  |   255 |    3261 |    6047     506    6047 |    1013     506    1013 |    0.2   16.9    0.8
186  |   255 |    4321 |    7089     508    7089 |    1016     508    1016 |    0.1   23.1    0.9
187  |   255 |    4312 |    7073     508    7073 |    1017     508    1017 |    0.2   24.5    0.9
188  |   255 |    4317 |    7087     507    7087 |    1015     507    1015 |    0.1   23.9    0.9
189  |   255 |    4317 |    7085     507    7085 |    1015     507    1015 |    0.1   24.3    0.9
190  |   255 |    4307 |    7085     507    7085 |    1014     507    1014 |    0.1   23.5    0.9
191  |   255 |    3291 |    7069     506    7069 |    1013     506    1013 |    0.2   17.4    0.8
192  |   254 |    4296 |    6069     506    6069 |    1013     506    1013 |    0.1   17.7    0.8
193  |   255 |    4287 |    6064     506    6064 |    1013     506    1013 |    0.1   17.0    0.8
194  |   255 |    4311 |    7080     507    7080 |    1014     507    1014 |    0.1   24.4    0.9
195  |   254 |    4299 |    7071     506    7071 |    1012     506    1012 |    0.2   23.7    0.9
196  |   255 |    4325 |    7083     509    7083 |    1018     509    1018 |    0.1   23.6    0.9
197  |   255 |    2764 |    6047     506    6047 |    1013     506    1013 |    0.2   17.3    0.8
198  |   255 |    4319 |    6087     507    6087 |    1015     507    1015 |    0.1   17.2    0.8
199  |   255 |    4311 |    7079     506    7079 |    1014     507    1014 |    0.2   17.7    0.8
200  |   255 |    4304 |    7068     506    7068 |    1013     506    1013 |    0.1   23.7    0.9
201  |   255 |    3030 |    7084     507    7084 |    1014     507    1014 |    0.2   23.4    0.9
202  |   255 |    4306 |    7072     507    7072 |    1014     507    1014 |    0.2   23.6    0.9
203  |   255 |    4320 |    7081     508    7081 |    1016     508    1016 |    0.2   23.6    0.9
204  |   252 |    4276 |    6050     505    6050 |    1010     505    1010 |    0.1   17.1    0.8
205  |   255 |    3300 |    7066     508    7066 |    1017     508    1017 |    0.2   17.6    0.8
206  |   255 |    4318 |    7093     508    7093 |    1015     508    1015 |    0.2   23.3    0.9
207  |   254 |    4296 |    7056     505    7056 |    1013     505    1013 |    0.1   23.6    0.9
208  |   254 |    3271 |    6064     506    6064 |    1012     506    1012 |    0.1   17.2    0.8
209  |   255 |    4305 |    7059     506    7059 |    1013     506    1013 |    0.1   23.7    0.9
210  |   255 |    4298 |    7062     507    7062 |    1015     507    1015 |    0.2   23.5    0.9
211  |   255 |    4319 |    7085     507    7085 |    1015     507    1015 |    0.2   23.8    0.9
212  |   255 |    4290 |    6065     506    6065 |    1013     506    1013 |    0.1   18.2    0.8
213  |   253 |    4284 |    7056     505    7056 |    1010     505    1010 |    0.1   23.8    0.9
214  |   255 |    4301 |    6076     506    6076 |    1013     506    1013 |    0.1   17.0    0.8
215  |   255 |    4319 |    7089     507    7089 |    1016     508    1016 |    0.2   22.8    0.9
216  |   254 |    4272 |    6048     506    6048 |    1013     506    1013 |    0.2   17.4    0.8
217  |   254 |    4247 |    6024     505    6024 |    1011     505    1011 |    0.1   16.9    0.8
218  |   255 |    4308 |    7061     506    7061 |    1014     506    1014 |    0.2   22.7    0.9
219  |   255 |    4310 |    7086     507    7086 |    1014     507    1014 |    0.1   24.1    0.9
220  |   255 |    4310 |    7084     507    7084 |    1014     507    1014 |    0.1   23.6    0.9
221  |   255 |    4317 |    6082     507    6082 |    1015     507    1015 |    0.2   16.9    0.8
222  |   255 |    4317 |    7088     509    7088 |    1017     509    1017 |    0.2   17.6    0.8
223  |   255 |    4317 |    7080     508    7080 |    1016     508    1016 |    0.1   23.5    0.9
224  |   255 |    4321 |    7089     507    7089 |    1015     507    1015 |    0.1   23.7    0.9
225  |   255 |    4325 |    7088     508    7088 |    1016     508    1016 |    0.2   23.3    0.9
226  |   253 |    4286 |    6060     505    6060 |    1011     506    1011 |    0.1   17.1    0.8
227  |   254 |    4302 |    7078     506    7078 |    1013     506    1013 |    0.1   23.5    0.9
228  |   255 |    4307 |    7083     507    7083 |    1014     507    1014 |    0.2   23.8    0.9
229  |   255 |    4317 |    7081     507    7081 |    1015     507    1015 |    0.1   23.6    0.9
230  |   253 |    3256 |    6042     505    6042 |    1010     505    1010 |    0.1   17.7    0.8
231  |   251 |    4230 |    5983     505    5983 |    1010     505    1010 |    0.2   16.6    0.8
232  |   255 |    4302 |    7078     507    7078 |    1014     507    1014 |    0.1   24.0    0.9
233  |   254 |    4291 |    7062     505    7062 |    1012     505    1012 |    0.1   23.4    0.9
234  |   255 |    4316 |    7080     508    7080 |    1016     508    1016 |    0.2   23.0    0.9
235  |   255 |    4275 |    6052     507    6052 |    1013     507    1013 |    0.1   17.0    0.8
236  |   255 |    4324 |    7084     507    7084 |    1015     507    1015 |    0.1   24.4    0.9
237  |   255 |    4321 |    7090     507    7090 |    1015     507    1015 |    0.1   24.1    0.9
238  |   254 |    4288 |    6064     506    6064 |    1012     506    1012 |    0.1   17.7    0.8
239  |   255 |    4317 |    7088     508    7088 |    1016     508    1016 |    0.1   23.7    0.9
240  |   255 |    4230 |    6006     507    6006 |    1014     507    1014 |    0.1   16.1    0.8
241  |   255 |    4322 |    7097     507    7097 |    1015     507    1015 |    0.1   23.2    0.9
242  |   254 |    4306 |    7077     506    7077 |    1013     506    1013 |    0.1   23.5    1.0
243  |   255 |    3025 |    7074     507    7074 |    1014     507    1014 |    0.1   23.1    0.9
244  |   255 |    4303 |    7066     506    7066 |    1012     506    1012 |    0.1   23.5    0.9
245  |   255 |    4315 |    7086     507    7086 |    1014     507    1014 |    0.1   23.3    0.9
246  |   255 |    4310 |    7083     507    7083 |    1014     507    1014 |    0.1   24.1    0.9
247  |   255 |    4315 |    7076     507    7076 |    1014     507    1014 |    0.2   22.8    0.9
248  |   255 |    4278 |    6052     506    6052 |    1013     506    1013 |    0.2   17.2    0.8
249  |   251 |    4224 |    5995     505    5995 |    1010     505    1010 |    0.1   16.0    0.8
250  |   255 |    4312 |    7078     508    7078 |    1016     508    1016 |    0.2   23.7    0.9
251  |   255 |    4318 |    7082     508    7082 |    1017     508    1017 |    0.1   23.2    0.9
252  |   255 |    4306 |    7069     507    7069 |    1014     507    1014 |    0.2   17.4    0.8
253  |   253 |    4276 |    6045     506    6045 |    1013     506    1013 |    0.1   17.0    0.8
254  |   255 |    4315 |    7082     507    7082 |    1014     507    1014 |    0.1   23.1    0.9
255  |   255 |    3780 |    7080     507    7080 |    1013     507    1013 |    0.1   23.6    0.9
256  |   255 |    4233 |    7009     506    7009 |    1013     506    1013 |    0.1   17.4    0.8
257  |   255 |    4311 |    7082     507    7082 |    1013     507    1013 |    0.1   23.9    0.9
258  |   255 |    4322 |    7080     508    7080 |    1017     508    1017 |    0.1   23.6    0.9
259  |   255 |    4317 |    7084     507    7084 |    1014     507    1014 |    0.2   23.7    0.9
260  |   255 |    4313 |    7089     507    7089 |    1014     507    1014 |    0.1   24.4    0.9
261  |   255 |    3536 |    7081     507    7081 |    1015     507    1015 |    0.1   23.6    0.9
262  |   255 |    4311 |    7084     507    7084 |    1014     507    1014 |    0.1   23.3    0.9
263  |   255 |    4325 |    7096     508    7096 |    1015     508    1015 |    0.1   23.0    0.9
264  |   255 |    4268 |    6047     508    6047 |    1017     508    1017 |    0.2   17.6    0.8
265  |   255 |    2795 |    7086     509    7086 |    1017     509    1017 |    0.2   24.3    0.9
266  |   254 |    4302 |    7077     507    7077 |    1014     507    1014 |    0.1   23.5    0.9
267  |   255 |    4243 |    6019     506    6019 |    1013     506    1013 |    0.1   17.1    0.8
268  |   255 |    4315 |    7080     507    7080 |    1014     507    1014 |    0.1   23.9    0.9
269  |   255 |    4317 |    7093     507    7093 |    1015     507    1015 |    0.1   24.1    0.9
270  |   255 |    4329 |    7096     508    7096 |    1016     508    1016 |    0.1   23.2    0.9
271  |   254 |    4304 |    7075     506    7075 |    1013     506    1013 |    0.1   24.9    1.0
