=== L5_alg2_1000_baseline ===
=== MLLL vs HNF Intermediate Bit Size Benchmark ===
Level: 5, Norm bitsize: 254, Iterations: 1000
GRAM prealloc (Phase 2 candidate B): OFF

Generating 1000 random ideal lattice pairs (bitsize=254)...
Mode: alg2
  Set 1: 8383.42 ms
  Set 2: 8247.00 ms
Generation done.

T    |   Inp |  HNFint | MLLLtot   MLLLv   MLLLg |  GRMtot    GRMv    GRMg |  HNFms MLLLms  GRMms
97   |   253 |    4276 |    6044     505    6044 |    1010     505    1010 |    0.1   16.8    0.9
98   |   255 |    4316 |    7081     507    7081 |    1014     507    1014 |    0.2   24.1    0.9
99   |   254 |    3009 |    6067     506    6067 |    1013     506    1013 |    0.1   17.7    0.8
100  |   255 |    4319 |    7082     507    7082 |    1015     507    1015 |    0.1   23.4    0.9
101  |   254 |    3018 |    7071     506    7071 |    1014     506    1014 |    0.2   23.4    0.9
102  |   254 |    3278 |    6071     506    6071 |    1013     506    1013 |    0.2   17.2    0.8
103  |   255 |    4321 |    7091     508    7091 |    1016     508    1016 |    0.2   22.8    0.9
104  |   255 |    4315 |    7074     507    7074 |    1014     507    1014 |    0.2   23.9    0.9
105  |   255 |    4324 |    7091     508    7091 |    1016     508    1016 |    0.2   24.4    1.0
106  |   255 |    4308 |    7073     506    7073 |    1013     506    1013 |    0.2   22.9    0.9
107  |   255 |    4306 |    7083     507    7083 |    1014     507    1014 |    0.2   23.7    1.0
108  |   254 |    3280 |    6068     506    6068 |    1013     507    1013 |    0.2   17.9    0.8
109  |   255 |    4319 |    7092     507    7092 |    1015     507    1015 |    0.2   23.6    0.9
110  |   255 |    4300 |    7078     506    7078 |    1013     507    1013 |    0.2   23.7    0.9
111  |   255 |    3268 |    7047     507    7047 |    1015     507    1015 |    0.2   17.9    0.8
112  |   255 |    3028 |    6076     506    6076 |    1013     507    1013 |    0.1   16.8    0.8
113  |   255 |    4315 |    7079     508    7079 |    1016     508    1016 |    0.2   23.0    0.9
114  |   254 |    3282 |    7073     507    7073 |    1014     507    1014 |    0.2   18.2    0.8
115  |   255 |    2785 |    7087     508    7087 |    1015     508    1015 |    0.1   23.8    0.9
116  |   255 |    4310 |    7079     507    7079 |    1015     507    1015 |    0.1   23.6    0.9
117  |   255 |    3556 |    7093     507    7093 |    1016     508    1016 |    0.2   17.7    0.8
118  |   255 |    4315 |    7083     508    7083 |    1016     508    1016 |    0.1   23.3    0.9
119  |   255 |    4320 |    7086     508    7086 |    1015     508    1015 |    0.2   24.3    1.2
120  |   255 |    4290 |    6071     507    6071 |    1013     507    1013 |    0.2   16.6    0.8
121  |   254 |    3036 |    7054     507    7054 |    1016     507    1016 |    0.2   18.0    0.8
122  |   255 |    4311 |    7085     507    7085 |    1015     507    1015 |    0.2   23.8    0.9
123  |   255 |    4315 |    7087     507    7087 |    1014     507    1014 |    0.2   23.7    0.9
124  |   255 |    4312 |    7077     507    7077 |    1013     507    1013 |    0.1   24.5    1.0
125  |   254 |    3269 |    7046     506    7046 |    1012     506    1012 |    0.2   18.1    0.8
126  |   255 |    4318 |    7087     507    7087 |    1015     507    1015 |    0.1   24.1    1.0
127  |   255 |    4322 |    7089     507    7089 |    1015     507    1015 |    0.1   24.5    0.9
128  |   255 |    4324 |    7092     508    7092 |    1016     508    1016 |    0.2   24.4    0.9
129  |   255 |    2778 |    7085     507    7085 |    1013     507    1013 |    0.1   24.0    1.0
130  |   255 |    4304 |    7078     507    7078 |    1015     507    1015 |    0.2   24.4    0.9
131  |   255 |    4318 |    7090     507    7090 |    1016     507    1016 |    0.1   25.8    1.0
132  |   255 |    4292 |    7043     506    7043 |    1012     506    1012 |    0.1   23.8    0.9
133  |   253 |    4285 |    6060     505    6060 |    1010     505    1010 |    0.2   17.4    0.8
134  |   255 |    4328 |    7084     508    7084 |    1017     508    1017 |    0.1   24.2    0.9
135  |   255 |    4319 |    7083     507    7083 |    1014     507    1014 |    0.2   24.0    0.9
136  |   255 |    4312 |    7081     508    7081 |    1015     508    1015 |    0.2   24.0    0.9
137  |   255 |    4324 |    7087     508    7087 |    1017     508    1017 |    0.2   23.2    0.9
138  |   255 |    4321 |    7091     507    7091 |    1016     508    1016 |    0.1   23.2    0.9
139  |   255 |    3540 |    7076     506    7076 |    1014     507    1014 |    0.2   17.2    0.8
140  |   255 |    4307 |    7087     507    7087 |    1014     507    1014 |    0.2   24.4    0.9
141  |   255 |    4294 |    7040     506    7040 |    1013     506    1013 |    0.2   23.6    0.9
142  |   250 |    4224 |    5988     505    5988 |    1010     505    1010 |    0.2   16.5    0.8
143  |   255 |    4280 |    7058     506    7058 |    1013     506    1013 |    0.1   17.0    0.8
144  |   255 |    4314 |    7076     507    7076 |    1016     507    1016 |    0.1   22.6    0.9
